id,email,directorate,created_at,updated_at,first_login_at
21,user21@email.com,HUMAN CAPITAL,2019-12-05T17:43:22.930,2021-05-03T13:14:39.245,2021-07-16
22,user22@email.com,HUMAN CAPITAL,2019-12-06T10:05:30.828,2021-05-03T13:14:39.186,2021-11-12
23,user23@email.com,HUMAN CAPITAL,2019-12-06T10:08:58.456,2021-05-03T13:14:34.530,2021-11-12
24,user24@email.com,HUMAN CAPITAL,2019-12-06T10:11:49.205,2021-05-03T13:14:34.070,2021-10-28
25,user25@email.com,HUMAN CAPITAL,2019-12-06T10:13:48.780,2021-05-03T13:14:38.015,2021-10-21
26,user26@email.com,MARKETING,2019-12-06T10:14:32.858,2021-05-03T13:14:34.575,2021-07-16
27,user27@email.com,OPERATIONAL,2019-12-06T10:24:16.843,2021-05-03T13:14:35.611,2021-10-21
28,user28@email.com,HUMAN CAPITAL,2019-12-06T10:29:21.846,2021-05-03T13:14:38.506,2021-12-28
29,user29@email.com,HUMAN CAPITAL,2019-12-06T10:31:58.254,2021-05-03T13:14:34.026,2021-12-16
30,user30@email.com,HUMAN CAPITAL,2019-12-06T10:36:28.072,2021-05-03T13:14:38.792,2021-12-10
31,user31@email.com,HUMAN CAPITAL,2019-12-06T10:37:57.314,2021-05-03T13:14:34.728,2021-12-16
32,user32@email.com,HUMAN CAPITAL,2019-12-06T10:39:55.013,2021-05-03T13:14:34.977,2021-12-16
33,user33@email.com,HUMAN CAPITAL,2019-12-06T10:42:19.496,2021-05-03T13:14:38.435,2021-12-17
34,user34@email.com,HUMAN CAPITAL,2019-12-06T10:43:27.964,2021-05-11T04:11:38.573,2021-12-16
35,user35@email.com,HUMAN CAPITAL,2019-12-06T10:45:48.478,2021-05-03T13:14:40.082,2021-12-10
36,user36@email.com,HUMAN CAPITAL,2019-12-06T10:46:47.277,2021-05-03T13:14:34.787,2021-12-16
37,user37@email.com,HUMAN CAPITAL,2019-12-06T10:48:01.477,2021-05-03T13:14:40.552,2021-07-14
38,user38@email.com,HUMAN CAPITAL,2019-12-06T10:49:03.823,2021-06-17T01:12:26.695,2021-07-22
39,user39@email.com,HUMAN CAPITAL,2019-12-06T10:49:24.422,2021-05-03T13:14:38.946,2021-12-08
40,user40@email.com,HUMAN CAPITAL,2019-12-06T10:50:55.214,2021-05-03T13:14:37.123,2021-07-22
41,user41@email.com,HUMAN CAPITAL,2019-12-06T10:54:16.540,2021-05-03T13:14:40.900,2021-12-09
42,user42@email.com,F&B,2019-12-06T10:54:31.485,2021-05-03T13:14:38.290,2021-12-10
43,user43@email.com,HUMAN CAPITAL,2019-12-06T10:54:48.078,2021-05-03T13:14:40.846,2021-11-08
44,user44@email.com,HUMAN CAPITAL,2019-12-06T10:55:05.360,2021-05-03T13:14:40.879,2021-11-08
45,user45@email.com,HUMAN CAPITAL,2019-12-06T10:55:20.004,2021-05-03T13:14:38.355,2021-11-08
46,user46@email.com,HUMAN CAPITAL,2019-12-06T10:55:32.599,2021-05-03T13:14:40.563,2021-11-19
47,user47@email.com,HUMAN CAPITAL,2019-12-06T11:07:18.072,2021-05-03T13:14:38.754,2021-07-14
48,user48@email.com,HUMAN CAPITAL,2019-12-06T11:07:37.071,2021-05-03T13:14:33.998,2021-12-08
49,user49@email.com,HUMAN CAPITAL,2019-12-06T11:07:52.560,2021-05-03T13:14:38.117,2021-10-07
50,user50@email.com,HUMAN CAPITAL,2019-12-06T11:08:06.234,2021-05-03T13:14:37.283,2021-10-07
51,user51@email.com,HUMAN CAPITAL,2019-12-06T11:08:21.657,2021-05-03T13:14:38.331,2021-10-21
52,user52@email.com,HUMAN CAPITAL,2019-12-06T11:08:35.748,2021-05-03T13:14:34.856,2021-10-19
53,user53@email.com,MARKETING,2019-12-06T11:08:55.401,2021-05-03T13:14:40.986,2022-02-14
54,user54@email.com,HUMAN CAPITAL,2019-12-06T11:09:12.240,2021-05-03T13:14:39.389,2021-10-15
55,user55@email.com,HUMAN CAPITAL,2019-12-09T06:38:03.204,2021-05-03T13:14:41.022,2021-10-01
56,user56@email.com,HUMAN CAPITAL,2019-12-09T06:38:25.425,2021-05-03T13:14:35.170,2021-10-11
57,user57@email.com,HUMAN CAPITAL,2019-12-09T06:38:40.649,2021-05-03T13:14:36.134,2021-10-15
58,user58@email.com,HUMAN CAPITAL,2019-12-09T06:38:57.792,2021-05-03T13:14:36.553,2021-10-13
59,user59@email.com,HUMAN CAPITAL,2019-12-10T04:51:06.232,2021-05-03T13:14:38.273,2021-09-24
60,user60@email.com,HUMAN CAPITAL,2019-12-10T04:52:41.656,2021-05-03T13:14:39.273,2021-09-24
61,user61@email.com,HUMAN CAPITAL,2019-12-10T04:53:07.499,2021-05-03T13:14:34.495,2021-07-18
62,user62@email.com,HUMAN CAPITAL,2019-12-10T04:53:22.747,2021-05-03T13:14:39.001,2021-10-05
63,user63@email.com,HUMAN CAPITAL,2019-12-10T04:53:36.381,2021-05-03T13:14:40.927,2021-10-04
64,user64@email.com,HUMAN CAPITAL,2019-12-10T04:55:37.935,2021-05-03T13:14:39.181,2021-12-31
65,user65@email.com,HUMAN CAPITAL,2019-12-10T04:58:39.398,2021-05-03T13:14:35.347,2021-11-26
66,user66@email.com,HUMAN CAPITAL,2020-01-03T10:33:55.827,2021-05-03T13:14:39.115,2022-02-17
67,user67@email.com,HUMAN CAPITAL,2020-01-03T10:33:55.878,2021-05-03T13:14:39.427,2021-12-06
68,user68@email.com,HUMAN CAPITAL,2020-01-03T10:33:55.978,2021-05-03T13:14:40.681,2021-11-26
69,user69@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.007,2021-07-02T01:46:37.218,2021-11-26
70,user70@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.018,2021-05-03T13:14:35.363,2021-07-22
71,user71@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.057,2021-05-03T13:14:38.135,2021-07-14
72,user72@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.179,2021-05-03T13:14:39.367,2021-07-15
73,user73@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.182,2021-05-03T13:14:39.039,2021-06-19
74,user74@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.263,2021-05-03T13:14:34.765,2021-07-14
75,user75@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.271,2021-05-03T13:14:40.804,2021-07-16
76,user76@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.283,2021-05-03T13:14:34.994,2021-07-15
77,user77@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.288,2021-05-03T13:14:35.079,2021-07-16
78,user78@email.com,BOM,2020-01-03T10:33:56.304,2021-05-03T13:14:38.088,2021-07-15
79,user79@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.312,2021-05-03T13:14:34.948,2021-07-15
80,user80@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.320,2021-05-03T13:14:33.799,2021-07-23
81,user81@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.434,2021-05-03T13:14:37.026,2021-11-30
82,user82@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.513,2021-05-03T13:14:33.987,2022-01-13
83,user83@email.com,HUMAN CAPITAL,2020-01-03T10:33:56.631,2021-05-03T13:14:35.010,2021-10-29
84,user84@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.097,2021-05-03T13:14:36.976,2021-11-17
85,user85@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.194,2021-05-03T13:14:34.674,2021-10-29
86,user86@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.202,2021-05-03T13:14:40.772,2021-11-12
87,user87@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.194,2021-05-03T13:14:38.721,2021-12-21
88,user88@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.213,2021-05-03T13:14:35.213,2021-11-25
89,user89@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.293,2021-06-22T01:19:49.680,2021-11-29
90,user90@email.com,F&B,2020-01-03T10:33:57.446,2021-05-03T13:14:40.135,2021-11-29
91,user91@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.449,2021-05-03T13:14:34.484,2021-11-17
92,user92@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.451,2021-05-03T13:14:36.810,2021-12-03
93,user93@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.455,2021-05-03T13:14:39.257,2021-11-12
94,user94@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.457,2021-05-03T13:14:37.235,2022-02-07
95,user95@email.com,HUMAN CAPITAL,2020-01-03T10:33:57.464,2021-05-03T13:14:40.240,2022-02-07
96,user96@email.com,BOM,2020-01-03T10:33:57.601,2021-05-03T13:14:35.240,2021-11-12
98,user98@email.com,BOM,2020-01-14T07:50:38.170,2021-05-03T13:14:40.884,2021-11-26
99,user99@email.com,MARKETING,2020-01-14T07:50:38.287,2021-05-07T00:03:08.325,2021-11-09
100,user100@email.com,BOM,2020-01-14T07:50:38.322,2021-05-03T13:14:39.028,2021-11-12
101,user101@email.com,RESEARCH AND DEVELOPMENT,2020-01-14T07:50:38.347,2021-05-03T13:14:38.278,2021-10-28
102,user102@email.com,F&B,2020-01-14T07:50:38.508,2021-05-05T05:35:36.418,2021-11-12
110,user110@email.com,IT,2020-02-10T08:17:05.727,2021-05-03T13:14:38.587,2021-11-12
112,user112@email.com,HUMAN CAPITAL,2020-02-11T08:18:37.828,2021-05-03T13:14:38.996,2021-11-12
113,user113@email.com,HUMAN CAPITAL,2020-02-13T03:21:21.323,2021-05-31T02:46:46.087,2022-02-28
114,user114@email.com,HUMAN CAPITAL,2020-02-13T03:22:16.995,2021-05-31T02:46:55.760,2021-12-01
116,user116@email.com,F&B,2020-02-17T07:24:38.820,2021-05-03T13:14:34.525,2021-12-01
117,user117@email.com,ECOMMERCE,2020-02-17T07:31:10.872,2021-05-03T13:14:39.621,2021-10-05
118,user118@email.com,ECOMMERCE,2020-02-17T07:31:10.883,2021-05-03T13:14:36.630,2021-11-26
119,user119@email.com,ECOMMERCE,2020-02-17T07:31:10.904,2021-05-03T13:14:39.416,2021-11-16
120,user120@email.com,F&B,2020-02-17T07:31:10.905,2021-05-03T13:14:36.328,2021-11-16
121,user121@email.com,ECOMMERCE,2020-02-17T07:31:10.907,2021-05-03T13:14:37.305,2021-11-16
122,user122@email.com,ECOMMERCE,2020-02-17T07:31:10.911,2021-05-03T13:14:36.744,2021-11-04
123,user123@email.com,MARKETING,2020-02-17T07:31:11.053,2021-05-03T13:14:37.471,2021-07-14
124,user124@email.com,ECOMMERCE,2020-02-17T07:31:11.062,2021-05-03T13:14:39.714,2021-07-19
125,user125@email.com,ECOMMERCE,2020-02-17T07:31:11.246,2021-05-03T13:14:39.703,2021-11-03
126,user126@email.com,ECOMMERCE,2020-02-17T07:31:11.246,2021-05-03T13:14:35.862,2021-10-05
127,user127@email.com,ECOMMERCE,2020-02-17T07:31:11.252,2021-05-03T13:14:35.448,2021-10-01
128,user128@email.com,ECOMMERCE,2020-02-17T07:31:11.278,2021-05-03T13:14:40.954,2021-10-04
129,user129@email.com,ECOMMERCE,2020-02-17T07:31:11.438,2021-05-03T13:14:39.323,2021-11-12
130,user130@email.com,ECOMMERCE,2020-02-17T07:31:11.444,2021-05-03T13:14:37.710,2021-10-06
131,user131@email.com,ECOMMERCE,2020-02-17T07:31:11.481,2021-05-03T13:14:35.138,2021-10-06
132,user132@email.com,ECOMMERCE,2020-02-17T07:31:11.492,2021-05-03T13:14:39.224,2021-10-01
133,user133@email.com,ECOMMERCE,2020-02-17T07:31:11.508,2021-05-03T13:14:36.397,2021-10-01
134,user134@email.com,ECOMMERCE,2020-02-17T07:31:11.538,2021-05-03T13:14:39.637,2021-11-15
135,user135@email.com,ECOMMERCE,2020-02-17T07:31:11.552,2021-05-03T13:14:39.467,2021-10-05
136,user136@email.com,ECOMMERCE,2020-02-17T07:31:11.559,2021-05-03T13:14:35.977,2021-11-12
137,user137@email.com,ECOMMERCE,2020-02-17T07:31:11.573,2021-05-03T13:14:36.509,2021-11-12
138,user138@email.com,ECOMMERCE,2020-02-17T07:31:11.705,2021-05-03T13:14:39.676,2021-10-27
139,user139@email.com,ECOMMERCE,2020-02-17T07:31:11.751,2021-05-03T13:14:35.288,2021-11-24
140,user140@email.com,ECOMMERCE,2020-02-17T07:31:11.781,2021-05-03T13:14:35.299,2021-10-01
141,user141@email.com,ECOMMERCE,2020-02-17T07:31:11.803,2021-05-25T01:24:22.408,2021-11-12
142,user142@email.com,ECOMMERCE,2020-02-17T07:31:11.910,2021-05-03T13:14:36.262,2021-07-29
143,user143@email.com,ECOMMERCE,2020-02-17T07:31:11.898,2021-05-03T13:14:39.687,2021-07-15
144,user144@email.com,F&B,2020-02-17T07:31:12.085,2021-05-03T13:14:36.241,2021-07-16
145,user145@email.com,ECOMMERCE,2020-02-17T07:31:12.100,2021-05-03T13:14:35.389,2021-07-14
146,user146@email.com,MARKETING,2020-02-17T07:31:12.101,2021-05-03T13:14:35.267,2021-07-15
147,user147@email.com,ECOMMERCE,2020-02-17T07:31:12.129,2021-05-03T13:14:35.466,2021-07-16
148,user148@email.com,ECOMMERCE,2020-02-17T07:31:12.134,2021-05-03T13:14:39.307,2021-07-16
149,user149@email.com,ECOMMERCE,2020-02-17T07:31:12.136,2021-05-03T13:14:36.246,2021-07-16
150,user150@email.com,ECOMMERCE,2020-02-17T07:31:12.137,2021-05-03T13:14:38.451,2021-07-16
151,user151@email.com,ECOMMERCE,2020-02-17T07:31:12.534,2021-05-03T13:14:35.912,2021-07-16
152,user152@email.com,ECOMMERCE,2020-02-17T07:31:12.667,2021-05-03T13:14:39.626,2021-07-14
153,user153@email.com,ECOMMERCE,2020-02-17T07:31:12.745,2021-05-03T13:14:38.930,2021-07-16
154,user154@email.com,ECOMMERCE,2020-02-17T07:31:12.767,2021-05-03T13:14:38.123,2021-07-16
155,user155@email.com,ECOMMERCE,2020-02-17T07:31:12.770,2021-05-03T13:14:36.826,2021-07-14
156,user156@email.com,ECOMMERCE,2020-02-17T07:31:12.800,2021-05-03T13:14:38.582,2021-11-16
157,user157@email.com,ECOMMERCE,2020-02-17T07:31:12.847,2021-05-03T13:14:35.416,2021-11-12
158,user158@email.com,ECOMMERCE,2020-02-17T07:31:12.866,2021-05-03T13:14:37.240,2021-11-12
159,user159@email.com,F&B,2020-02-17T07:31:12.871,2021-05-03T13:14:39.208,2021-11-12
160,user160@email.com,ECOMMERCE,2020-02-17T07:31:12.920,2021-05-03T13:14:35.667,2021-08-24
161,user161@email.com,F&B,2020-02-17T07:31:12.947,2021-05-03T13:14:35.315,2021-11-13
162,user162@email.com,ECOMMERCE,2020-02-17T07:31:12.962,2021-05-03T13:14:38.053,2021-11-12
163,user163@email.com,ECOMMERCE,2020-02-17T07:31:13.049,2021-05-03T13:14:37.446,2021-11-12
164,user164@email.com,ECOMMERCE,2020-02-17T07:31:13.078,2021-05-03T13:14:39.511,2021-11-12
165,user165@email.com,ECOMMERCE,2020-02-17T07:31:13.094,2021-05-03T13:14:39.741,2022-01-04
166,user166@email.com,MARKETING,2020-02-17T07:31:13.137,2021-06-18T03:41:34.851,2021-10-27
167,user167@email.com,ECOMMERCE,2020-02-17T07:31:13.173,2021-05-03T13:14:38.141,2021-11-12
168,user168@email.com,F&B,2020-02-17T07:31:13.265,2021-05-03T13:14:35.774,2021-12-16
169,user169@email.com,ECOMMERCE,2020-02-17T07:31:13.279,2021-05-03T13:14:38.627,2022-02-13
170,user170@email.com,ECOMMERCE,2020-02-17T07:31:13.295,2021-05-03T13:14:36.469,2022-02-14
171,user171@email.com,ECOMMERCE,2020-02-17T07:31:13.310,2021-05-03T13:14:35.850,2021-07-21
172,user172@email.com,ECOMMERCE,2020-02-17T07:31:13.323,2021-05-03T13:14:35.442,2021-07-21
173,user173@email.com,F&B,2020-02-17T07:31:13.328,2021-05-03T13:14:35.779,2021-07-21
174,user174@email.com,ECOMMERCE,2020-02-17T07:31:13.373,2021-05-03T13:14:40.981,2021-11-29
175,user175@email.com,ECOMMERCE,2020-02-17T07:31:13.395,2021-05-03T13:14:39.654,2021-12-08
176,user176@email.com,ECOMMERCE,2020-02-17T07:31:13.474,2021-05-03T13:14:36.728,2021-10-21
177,user177@email.com,ECOMMERCE,2020-02-17T07:31:13.612,2021-05-03T13:14:38.850,2021-12-08
178,user178@email.com,F&B,2020-02-17T07:31:13.623,2021-05-03T13:14:35.074,2021-12-08
179,user179@email.com,ECOMMERCE,2020-02-17T07:31:13.625,2021-05-03T13:14:36.058,2021-12-08
180,user180@email.com,ECOMMERCE,2020-02-17T07:31:13.649,2021-05-03T13:14:36.036,2021-12-09
181,user181@email.com,ECOMMERCE,2020-02-17T07:31:13.656,2021-05-03T13:14:35.838,2022-02-09
182,user182@email.com,ECOMMERCE,2020-02-17T07:31:13.684,2021-05-03T13:14:38.803,2021-10-21
183,user183@email.com,ECOMMERCE,2020-02-17T07:31:13.687,2021-05-03T13:14:39.219,2021-12-08
184,user184@email.com,ECOMMERCE,2020-02-17T07:31:13.699,2021-06-30T08:36:12.394,2021-11-19
185,user185@email.com,ECOMMERCE,2020-02-17T07:31:13.750,2021-05-03T13:14:35.891,2022-02-18
186,user186@email.com,ECOMMERCE,2020-02-17T07:31:13.812,2021-05-03T13:14:36.155,2021-11-19
187,user187@email.com,ECOMMERCE,2020-02-17T07:31:13.816,2021-05-03T13:14:35.998,2021-11-19
188,user188@email.com,ECOMMERCE,2020-02-17T07:31:13.858,2021-05-03T13:14:38.566,2021-11-22
189,user189@email.com,F&B,2020-02-17T07:31:13.859,2021-05-03T13:14:40.146,2021-11-22
190,user190@email.com,ECOMMERCE,2020-02-17T07:31:13.864,2021-05-03T13:14:40.932,2022-03-17
191,user191@email.com,ECOMMERCE,2020-02-17T07:31:13.880,2021-05-03T13:14:39.725,2021-11-26
192,user192@email.com,ECOMMERCE,2020-02-17T07:31:13.930,2021-05-03T13:14:34.937,2021-11-08
193,user193@email.com,F&B,2020-02-17T07:31:13.943,2021-05-03T13:14:38.893,2021-11-15
194,user194@email.com,MARKETING,2020-02-17T07:31:13.974,2021-05-03T13:14:38.129,2021-11-11
195,user195@email.com,ECOMMERCE,2020-02-17T07:31:13.991,2021-05-03T13:14:34.925,2021-11-17
196,user196@email.com,ECOMMERCE,2020-02-17T07:31:14.004,2021-05-03T13:14:36.144,2021-11-08
197,user197@email.com,ECOMMERCE,2020-02-17T07:31:14.020,2021-05-03T13:14:35.595,2021-11-17
198,user198@email.com,ECOMMERCE,2020-02-17T07:31:14.043,2021-05-03T13:14:35.100,2021-10-05
199,user199@email.com,ECOMMERCE,2020-02-17T07:31:14.089,2021-05-03T13:14:35.047,2021-10-25
200,user200@email.com,ECOMMERCE,2020-02-17T07:31:14.144,2021-05-03T13:14:36.663,2021-10-07
201,user201@email.com,F&B,2020-02-17T07:31:14.181,2021-05-03T13:14:36.091,2021-10-07
202,user202@email.com,ECOMMERCE,2020-02-17T07:31:14.190,2021-05-03T13:14:35.928,2021-10-07
203,user203@email.com,ECOMMERCE,2020-02-17T07:31:14.199,2021-05-03T13:14:35.646,2021-10-15
204,user204@email.com,F&B,2020-02-17T07:31:14.249,2021-05-03T13:14:34.770,2021-11-08
205,user205@email.com,ECOMMERCE,2020-02-17T07:31:14.315,2021-05-03T13:14:38.770,2021-10-29
206,user206@email.com,ECOMMERCE,2020-02-17T07:31:14.317,2021-05-03T13:14:34.362,2021-10-15
207,user207@email.com,ECOMMERCE,2020-02-17T07:31:14.343,2021-05-03T13:14:38.904,2021-10-15
208,user208@email.com,ECOMMERCE,2020-02-17T07:31:14.351,2021-05-03T13:14:36.765,2021-07-14
209,user209@email.com,ECOMMERCE,2020-02-17T07:31:14.366,2021-05-03T13:14:35.519,2022-02-07
210,user210@email.com,HUMAN CAPITAL,2020-02-17T07:31:14.371,2021-06-04T01:01:09.641,2021-10-04
211,user211@email.com,ECOMMERCE,2020-02-17T07:31:14.463,2021-05-03T13:14:39.034,2021-10-04
212,user212@email.com,ECOMMERCE,2020-02-17T07:31:14.467,2021-05-03T13:14:40.729,2021-10-04
213,user213@email.com,F&B,2020-02-17T07:31:14.502,2021-05-03T13:14:35.181,2021-09-24
214,user214@email.com,ECOMMERCE,2020-02-17T07:31:14.524,2021-05-03T13:14:39.670,2021-10-04
215,user215@email.com,ECOMMERCE,2020-02-17T07:31:14.529,2021-05-03T13:14:35.546,2021-10-15
216,user216@email.com,ECOMMERCE,2020-02-17T07:31:14.610,2021-05-21T12:12:53.732,2021-10-04
217,user217@email.com,ECOMMERCE,2020-02-17T07:31:14.613,2021-05-03T13:14:36.042,2021-10-21
218,user218@email.com,ECOMMERCE,2020-02-17T07:31:14.619,2021-05-03T13:14:35.754,2021-10-14
219,user219@email.com,ECOMMERCE,2020-02-17T07:31:14.642,2021-05-03T13:14:38.317,2021-11-18
220,user220@email.com,ECOMMERCE,2020-02-17T07:31:14.653,2021-06-18T03:41:44.033,2021-10-05
221,user221@email.com,ECOMMERCE,2020-02-17T07:31:14.696,2021-05-03T13:14:35.379,2021-10-01
222,user222@email.com,ECOMMERCE,2020-02-17T07:31:14.724,2021-05-03T13:14:36.439,2021-10-04
223,user223@email.com,ECOMMERCE,2020-02-17T07:31:14.815,2021-05-03T13:14:38.683,2021-10-04
224,user224@email.com,ECOMMERCE,2020-02-17T07:31:14.839,2021-05-03T13:14:35.514,2021-10-04
225,user225@email.com,ECOMMERCE,2020-02-17T07:31:14.850,2021-05-03T13:14:40.975,2021-10-05
226,user226@email.com,ECOMMERCE,2020-02-17T07:31:14.885,2021-05-03T13:14:37.992,2021-10-19
227,user227@email.com,ECOMMERCE,2020-02-17T07:31:14.890,2021-05-03T13:14:35.917,2021-11-08
228,user228@email.com,ECOMMERCE,2020-02-17T07:31:14.913,2021-05-03T13:14:35.939,2021-12-08
229,user229@email.com,ECOMMERCE,2020-02-17T07:31:14.946,2021-05-03T13:14:39.501,2021-11-08
230,user230@email.com,ECOMMERCE,2020-02-17T07:31:14.959,2021-05-03T13:14:38.501,2021-10-05
231,user231@email.com,ECOMMERCE,2020-02-17T07:31:15.020,2021-05-03T13:14:35.432,2021-09-24
232,user232@email.com,ECOMMERCE,2020-02-17T07:31:15.029,2021-05-03T13:14:37.949,2021-10-04
233,user233@email.com,ECOMMERCE,2020-02-17T07:31:15.040,2021-05-03T13:14:36.166,2021-07-14
234,user234@email.com,ECOMMERCE,2020-02-17T07:31:15.044,2021-05-03T13:14:39.071,2021-10-01
235,user235@email.com,ECOMMERCE,2020-02-17T07:31:15.052,2021-05-03T13:14:34.899,2021-12-08
236,user236@email.com,ECOMMERCE,2020-02-17T07:31:15.063,2021-05-03T13:14:38.423,2021-10-18
237,user237@email.com,ECOMMERCE,2020-02-17T07:31:15.060,2021-05-03T13:14:36.652,2022-02-18
238,user238@email.com,ECOMMERCE,2020-02-17T07:31:15.105,2021-05-03T13:14:35.923,2021-12-12
239,user239@email.com,ECOMMERCE,2020-02-17T07:31:15.128,2021-05-03T13:14:35.878,2021-12-17
240,user240@email.com,ECOMMERCE,2020-02-17T07:31:15.206,2021-05-03T13:14:35.557,2022-02-26
241,user241@email.com,ECOMMERCE,2020-02-17T07:31:15.254,2021-05-03T13:14:35.336,2022-02-26
242,user242@email.com,ECOMMERCE,2020-02-17T07:31:15.256,2021-05-03T13:14:36.187,2021-11-26
243,user243@email.com,ECOMMERCE,2020-02-17T07:31:15.304,2021-05-03T13:14:39.296,2021-11-30
244,user244@email.com,ECOMMERCE,2020-02-17T07:31:15.372,2021-05-03T13:14:36.419,2021-12-01
245,user245@email.com,ECOMMERCE,2020-02-17T07:31:15.378,2021-05-03T13:14:39.234,2021-12-06
246,user246@email.com,ECOMMERCE,2020-02-17T07:31:15.375,2021-05-03T13:14:34.983,2021-11-26
247,user247@email.com,ECOMMERCE,2020-02-17T07:31:15.411,2021-05-03T13:14:39.648,2021-12-01
248,user248@email.com,ECOMMERCE,2020-02-17T07:31:15.425,2021-05-03T13:14:34.306,2021-11-26
249,user249@email.com,ECOMMERCE,2020-02-17T07:31:15.487,2021-05-03T13:14:37.118,2021-12-10
250,user250@email.com,ECOMMERCE,2020-02-17T07:31:15.556,2021-05-03T13:14:35.949,2022-02-07
251,user251@email.com,ECOMMERCE,2020-02-17T07:31:15.564,2021-05-03T13:14:39.229,2021-10-21
252,user252@email.com,ECOMMERCE,2020-02-17T07:31:15.655,2021-05-03T13:14:35.762,2021-11-26
253,user253@email.com,ECOMMERCE,2020-02-17T07:31:15.659,2021-05-03T13:14:36.085,2021-11-26
254,user254@email.com,ECOMMERCE,2020-02-17T07:31:15.663,2021-05-11T04:15:39.051,2022-01-06
255,user255@email.com,ECOMMERCE,2020-02-17T07:31:15.848,2021-05-03T13:14:40.119,2021-11-26
256,user256@email.com,ECOMMERCE,2020-02-17T07:31:15.881,2021-05-03T13:14:35.384,2021-11-26
257,user257@email.com,ECOMMERCE,2020-02-17T07:31:15.904,2021-05-03T13:14:35.192,2021-11-26
258,user258@email.com,ECOMMERCE,2020-02-17T07:31:16.141,2021-05-03T13:14:36.139,2021-11-26
259,user259@email.com,ECOMMERCE,2020-02-17T07:31:16.156,2021-06-22T03:38:55.922,2021-07-14
260,user260@email.com,ECOMMERCE,2020-02-17T07:31:16.442,2021-05-03T13:14:36.064,2021-12-10
261,user261@email.com,ECOMMERCE,2020-02-17T07:31:16.443,2021-05-03T13:14:37.642,2021-11-26
262,user262@email.com,ECOMMERCE,2020-02-17T07:31:16.461,2021-05-03T13:14:38.383,2021-11-26
263,user263@email.com,ECOMMERCE,2020-02-17T07:31:16.470,2021-05-03T13:14:38.064,2021-07-22
